economy,Country,SP.POP.TOTL,NY.GDP.MKTP.PP.KD,Total Population (millions),GDP (billions $),Gold,Silver,Bronze,Total,GDP (bn) / Total_Medals,Year,Continent
KNA,St. Kitts and Nevis,49881,1084420231,0.05,1.08,0,0,0,0,,2012,North America
KIR,Kiribati,106359,210581248,0.11,0.21,0,0,0,0,,2012,Oceania
KHM,Cambodia,14780454,44675351848,14.78,44.68,0,0,0,0,,2012,Asia
KGZ,Kyrgyz Republic,5607200,23882849033,5.61,23.88,0,0,0,0,,2012,Asia
KEN,Kenya,44343469,1.71E+11,44.34,170.53,2,4,7,13,13.12,2012,Africa
KAZ,Kazakhstan,16792090,3.81E+11,16.79,381.22,3,2,6,11,34.66,2012,Asia
JPN,Japan,127629000,4.94E+12,127.63,4943.82,7,14,17,38,130.10,2012,Asia
JOR,Jordan,8089963,86467865323,8.09,86.47,0,0,0,0,,2012,Asia
JAM,Jamaica,2842128,26812197175,2.84,26.81,4,5,3,12,2.23,2012,North America
ITA,Italy,59539717,2.47E+12,59.54,2471,8,9,11,28,88.25,2012,Europe
ISR,Israel,7910500,2.80E+11,7.91,280.17,0,0,0,0,,2012,Asia
ISL,Iceland,320716,15535564850,0.32,15.54,0,0,0,0,,2012,Europe
IRQ,Iraq,31890012,3.13E+11,31.89,313.31,0,0,0,0,,2012,Asia
IRN,"Iran, Islamic Rep.",75539881,9.67E+11,75.54,967.47,11,20,13,44,21.99,2012,Asia
IRL,Ireland,4599533,2.44E+11,4.6,243.99,1,1,4,6,40.67,2012,Europe
IND,India,1265780243,5.80E+12,1265.78,5801.29,0,2,4,6,966.88,2012,Asia
IDN,Indonesia,248451714,2.26E+12,248.45,2255.96,0,2,1,3,751.99,2012,Asia
HUN,Hungary,9920362,2.46E+11,9.92,246.28,8,4,6,18,13.68,2012,Europe
HTI,Haiti,10250922,30485924858,10.25,30.49,0,0,0,0,,2012,North America
HRV,Croatia,4267558,1.03E+11,4.27,102.76,3,1,2,6,17.13,2012,Europe
HND,Honduras,8640692,43769053768,8.64,43.77,0,0,0,0,,2012,North America
HKG,"Hong Kong SAR, China",7150100,3.85E+11,7.15,384.57,0,0,1,1,384.57,2012,Asia
GUY,Guyana,755388,8143790064,0.76,8.14,0,0,0,0,,2012,South America
GTM,Guatemala,14781942,1.12E+11,14.78,112.21,0,1,0,1,112.21,2012,North America
GRD,Grenada,107452,1419115796,0.11,1.42,1,0,0,1,1.42,2012,North America
GRC,Greece,11045011,3.13E+11,11.05,312.82,0,0,2,2,156.41,2012,Europe
GNQ,Equatorial Guinea,1031191,37815173746,1.03,37.82,0,0,0,0,,2012,Africa
GNB,Guinea-Bissau,1604981,2826185355,1.6,2.83,0,0,0,0,,2012,Africa
GMB,"Gambia, The",1905020,4068635488,1.91,4.07,0,0,0,0,,2012,Africa
GIN,Guinea,10652032,21328794682,10.65,21.33,0,0,0,0,,2012,Africa
GHA,Ghana,25996454,1.18E+11,26,118.25,0,0,0,0,,2012,Africa
GEO,Georgia,3728874,42120443741,3.73,42.12,1,2,3,6,7.02,2012,Asia
GBR,United Kingdom,63700215,2.72E+12,63.7,2723.47,29,18,18,65,41.90,2012,Europe
GAB,Gabon,1749677,26389777283,1.75,26.39,0,1,0,1,26.39,2012,Africa
FSM,"Micronesia, Fed. Sts.",104506,381389388.3,0.1,0.38,0,0,0,0,,2012,Oceania
FRA,France,65659814,2.81E+12,65.66,2809.62,0,0,0,0,,2012,Europe
FJI,Fiji,865065,9446056361,0.87,9.45,0,0,0,0,,2012,Oceania
FIN,Finland,5413971,2.49E+11,5.41,248.78,0,2,1,3,82.93,2012,Europe
ETH,Ethiopia,92726982,1.33E+11,92.73,133.28,3,2,3,8,16.66,2012,Africa
EST,Estonia,1322696,38354642990,1.32,38.35,0,1,1,2,19.18,2012,Europe
ESP,Spain,46773055,1.67E+12,46.77,1673.05,4,10,6,20,83.65,2012,Europe
EGY,"Egypt, Arab Rep.",86422240,8.90E+11,86.42,890.24,0,3,1,4,222.56,2012,Africa
ECU,Ecuador,15474099,1.77E+11,15.47,176.89,0,0,0,0,,2012,South America
DZA,Algeria,37383899,4.20E+11,37.38,419.95,1,0,0,1,419.95,2012,Africa
DOM,Dominican Republic,9930916,1.31E+11,9.93,131.28,1,1,0,2,65.64,2012,North America
DNK,Denmark,5591572,2.86E+11,5.59,286.38,2,4,3,9,31.82,2012,Europe
DMA,Dominica,70954,839899243.3,0.07,0.84,0,0,0,0,,2012,North America
DEU,Germany,80425823,4.01E+12,80.43,4011.03,0,0,0,0,,2012,Europe
CZE,Czech Republic,10510785,3.54E+11,10.51,354.09,4,3,4,11,32.19,2012,Europe
CYP,Cyprus,1135046,30793299987,1.14,30.79,0,1,0,1,30.79,2012,Asia
CYM,Cayman Islands,58963,3881834283,0.06,3.88,0,0,0,0,,2012,North America
CRI,Costa Rica,4688003,84358439807,4.69,84.36,0,0,0,0,,2012,North America
CPV,Cabo Verde,505241,3210153634,0.51,3.21,0,0,0,0,,2012,Africa
COM,Comoros,723865,2132652673,0.72,2.13,0,0,0,0,,2012,Africa
COL,Colombia,46075721,5.92E+11,46.08,592.19,1,3,5,9,65.80,2012,South America
COG,"Congo, Rep.",4510197,24824958475,4.51,24.82,0,0,0,0,,2012,Africa
COD,"Congo, Dem. Rep.",69020749,63967589236,69.02,63.97,0,0,0,0,,2012,Africa
CMR,Cameroon,21485267,70921695834,21.49,70.92,0,0,1,1,70.92,2012,Africa
CIV,Cote d'Ivoire,21547188,79005727589,21.55,79.01,0,0,0,0,,2012,Africa
CHN,China,1354190000,1.40E+13,1354.19,14043.93,38,31,22,91,154.33,2012,Asia
CHL,Chile,17400359,4.05E+11,17.4,405.44,0,0,0,0,,2012,South America
CHE,Switzerland,7996861,5.31E+11,8,531.31,2,2,0,4,132.83,2012,Europe
CAN,Canada,34714222,1.60E+12,34.71,1601.25,2,6,10,18,88.96,2012,North America
CAF,Central African Republic,4436411,5768615578,4.44,5.77,0,0,0,0,,2012,Africa
BWA,Botswana,2039551,28893389525,2.04,28.89,0,1,0,1,28.89,2012,Africa
BTN,Bhutan,701582,6373174014,0.7,6.37,0,0,0,0,,2012,Asia
BRN,Brunei Darussalam,398997,27566838985,0.4,27.57,0,0,0,0,,2012,Asia
BRB,Barbados,283698,4350749419,0.28,4.35,0,0,0,0,,2012,North America
BRA,Brazil,199287292,3.08E+12,199.29,3084.73,3,5,9,17,181.45,2012,South America
BOL,Bolivia,10377677,73488337955,10.38,73.49,0,0,0,0,,2012,South America
BMU,Bermuda,64798,5247495466,0.06,5.25,0,0,0,0,,2012,North America
BLZ,Belize,338001,2455455367,0.34,2.46,0,0,0,0,,2012,North America
BLR,Belarus,9446836,1.76E+11,9.45,175.82,2,5,3,10,17.58,2012,Europe
BIH,Bosnia and Herzegovina,3604972,40584178900,3.6,40.58,0,0,0,0,,2012,Europe
BHS,"Bahamas, The",363581,13454452166,0.36,13.45,1,0,0,1,13.45,2012,North America
BHR,Bahrain,1299942,58544160034,1.3,58.54,1,0,0,1,58.54,2012,Asia
BGR,Bulgaria,7305888,1.38E+11,7.31,138.17,0,2,1,3,46.06,2012,Europe
BGD,Bangladesh,151005733,4.83E+11,151.01,482.58,0,0,0,0,,2012,Asia
BFA,Burkina Faso,16571252,30400679458,16.57,30.4,0,0,0,0,,2012,Africa
BEN,Benin,9729254,26851264682,9.73,26.85,0,0,0,0,,2012,Africa
BEL,Belgium,11106932,5.35E+11,11.11,535.48,0,1,2,3,178.49,2012,Europe
BDI,Burundi,9245992,7976662580,9.25,7.98,0,0,0,0,,2012,Africa
AZE,Azerbaijan,9295784,1.30E+11,9.3,130.4,2,2,5,9,14.49,2012,Asia
AUT,Austria,8429991,4.49E+11,8.43,449.3,0,0,0,0,,2012,Europe
AUS,Australia,22733465,1.05E+12,22.73,1053.72,8,15,12,35,30.11,2012,Oceania
ATG,Antigua and Barbuda,90407,1624282783,0.09,1.62,0,0,0,0,,2012,North America
ARM,Armenia,2884239,29989321069,2.88,29.99,0,1,1,2,15.00,2012,Asia
ARG,Argentina,41733271,1.01E+12,41.73,1006.56,1,1,2,4,251.64,2012,South America
ARE,United Arab Emirates,9141598,5.25E+11,9.14,524.63,0,0,0,0,,2012,Asia
ALB,Albania,2900401,32565621886,2.9,32.57,0,0,0,0,,2012,Europe
AGO,Angola,25107925,2.02E+11,25.11,201.78,0,0,0,0,,2012,Africa
AFG,Afghanistan,31161378,64675178731,31.16,64.68,0,0,1,1,64.68,2012,Asia
ABW,Aruba,102565,3562338436,0.1,3.56,0,0,0,0,,2012,North America
ZWE,Zimbabwe,14030338,51606629079,14.03,51.61,0,0,0,0,,2016,Africa
ZMB,Zambia,16363449,56746599390,16.36,56.75,0,0,0,0,,2016,Africa
ZAF,South Africa,56207649,7.81E+11,56.21,781.13,2,6,2,10,78.11,2016,Africa
XKX,Kosovo,1777557,17830752782,1.78,17.83,1,0,0,1,17.83,2016,Europe
WSM,Samoa,194540,1254749878,0.19,1.25,0,0,0,0,,2016,Oceania
VUT,Vanuatu,278326,827593346.9,0.28,0.83,0,0,0,0,,2016,Oceania
VNM,Vietnam,93640435,6.34E+11,93.64,633.74,1,1,0,2,316.87,2016,Asia
VCT,St. Vincent and the Grenadines,109467,1331521060,0.11,1.33,0,0,0,0,,2016,North America
UZB,Uzbekistan,31847900,2.12E+11,31.85,212.23,4,2,7,13,16.33,2016,Asia
USA,United States,323071755,1.91E+13,323.07,19097.5,46,37,38,121,157.83,2016,North America
URY,Uruguay,3424139,77810210427,3.42,77.81,0,0,0,0,,2016,South America
UKR,Ukraine,45004673,4.92E+11,45,492.28,2,5,4,11,44.75,2016,Europe
UGA,Uganda,39649173,82813146623,39.65,82.81,0,0,0,0,,2016,Africa
TZA,Tanzania,53049231,1.26E+11,53.05,125.74,0,0,0,0,,2016,Africa
TUV,Tuvalu,11232,42544756.53,0.01,0.04,0,0,0,0,,2016,Oceania
TUR,Turkey,79827868,2.11E+12,79.83,2106.26,1,3,4,8,263.28,2016,Europe
TUN,Tunisia,11303942,1.26E+11,11.3,125.63,0,0,3,3,41.88,2016,Africa
TTO,Trinidad and Tobago,1377563,37582478505,1.38,37.58,0,0,1,1,37.58,2016,North America
TON,Tonga,101143,638447619.1,0.1,0.64,0,0,0,0,,2016,Oceania
TLS,Timor-Leste,1219289,4075606100,1.22,4.08,0,0,0,0,,2016,Asia
TKM,Turkmenistan,5662371,76796067931,5.66,76.8,0,0,0,0,,2016,Asia
TJK,Tajikistan,8663575,26971913999,8.66,26.97,1,0,0,1,26.97,2016,Asia
THA,Thailand,68971313,1.16E+12,68.97,1157.48,2,2,2,6,192.91,2016,Asia
TGO,Togo,7509952,14845731642,7.51,14.85,0,0,0,0,,2016,Africa
TCD,Chad,14561658,24566297102,14.56,24.57,0,0,0,0,,2016,Africa
SYC,Seychelles,94677,2499036177,0.09,2.5,0,0,0,0,,2016,Africa
SWZ,Eswatini,1113994,9269570962,1.11,9.27,0,0,0,0,,2016,Africa
SWE,Sweden,9923085,5.09E+11,9.92,509.4,2,6,3,11,46.31,2016,Europe
SVN,Slovenia,2065042,71972995814,2.07,71.97,1,2,1,4,17.99,2016,Europe
SVK,Slovak Republic,5430798,1.59E+11,5.43,158.78,2,2,0,4,39.70,2016,Europe
SUR,Suriname,564883,10269913345,0.56,10.27,0,0,0,0,,2016,South America
STP,Sao Tome and Principe,203221,788259685,0.2,0.79,0,0,0,0,,2016,Africa
SRB,Serbia,7058322,1.14E+11,7.06,114.22,2,4,2,8,14.28,2016,Europe
SOM,Somalia,14185635,12461863365,14.19,12.46,0,0,0,0,,2016,Africa
SMR,San Marino,33503,1977005285,0.03,1.98,0,0,0,0,,2016,Europe
SLV,El Salvador,6356137,52818867866,6.36,52.82,0,0,0,0,,2016,North America
SLE,Sierra Leone,7328846,11741786062,7.33,11.74,0,0,0,0,,2016,Africa
SLB,Solomon Islands,619438,1608399223,0.62,1.61,0,0,0,0,,2016,Oceania
SGP,Singapore,5607283,5.12E+11,5.61,511.99,1,0,0,1,511.99,2016,Asia
SEN,Senegal,14993514,45995086774,14.99,46,0,0,0,0,,2016,Africa
SDN,Sudan,39847433,1.86E+11,39.85,186.37,0,0,0,0,,2016,Africa
SAU,Saudi Arabia,32443443,1.58E+12,32.44,1577.59,0,0,0,0,,2016,Asia
RWA,Rwanda,11668829,22760357451,11.67,22.76,0,0,0,0,,2016,Africa
RUS,Russian Federation,144342397,3.74E+12,144.34,3738.84,19,17,20,56,66.77,2016,Europe
ROU,Romania,19702267,4.95E+11,19.7,495.41,1,1,2,4,123.85,2016,Europe
QAT,Qatar,2654379,2.54E+11,2.65,253.76,0,1,0,1,253.76,2016,Asia
PSE,West Bank and Gaza,4367088,28119389833,4.37,28.12,0,0,0,0,,2016,Asia
PRY,Paraguay,6777878,82492091752,6.78,82.49,0,0,0,0,,2016,South America
PRT,Portugal,10325452,3.29E+11,10.33,328.84,0,0,1,1,328.84,2016,Europe
PRI,Puerto Rico,3406672,1.18E+11,3.41,117.67,1,0,0,1,117.67,2016,North America
POL,Poland,37970087,1.09E+12,37.97,1089.08,2,3,6,11,99.01,2016,Europe
PNG,Papua New Guinea,8271766,34927738672,8.27,34.93,0,0,0,0,,2016,Oceania
PLW,Palau,17718,327221190.3,0.02,0.33,0,0,0,0,,2016,Oceania
PHL,Philippines,103663812,7.99E+11,103.66,798.74,0,1,0,1,798.74,2016,Asia
PER,Peru,30926036,3.84E+11,30.93,383.6,0,0,0,0,,2016,South America
PAN,Panama,4037073,1.18E+11,4.04,118.42,0,0,0,0,,2016,North America
PAK,Pakistan,203631356,9.00E+11,203.63,900.37,0,0,0,0,,2016,Asia
OMN,Oman,4479217,1.36E+11,4.48,135.53,0,0,0,0,,2016,Asia
NZL,New Zealand,4714100,1.96E+11,4.71,196.45,4,9,5,18,10.91,2016,Oceania
NRU,Nauru,10474,145609062.1,0.01,0.15,0,0,0,0,,2016,Oceania
NPL,Nepal,27263430,90400474173,27.26,90.4,0,0,0,0,,2016,Asia
NOR,Norway,5234519,3.30E+11,5.23,330.32,0,0,4,4,82.58,2016,Europe
NLD,Netherlands,17030314,9.17E+11,17.03,917.05,8,7,4,19,48.27,2016,Europe
NIC,Nicaragua,6303970,36637445219,6.3,36.64,0,0,0,0,,2016,North America
NGA,Nigeria,185960244,9.83E+11,185.96,982.78,0,0,1,1,982.78,2016,Africa
NER,Niger,20788789,23931559623,20.79,23.93,0,1,0,1,23.93,2016,Africa
NAM,Namibia,2358044,24691737303,2.36,24.69,0,0,0,0,,2016,Africa
MYS,Malaysia,30684652,7.84E+11,30.68,783.74,0,4,1,5,156.75,2016,Asia
MWI,Malawi,17205253,25012607363,17.21,25.01,0,0,0,0,,2016,Africa
MUS,Mauritius,1263473,26086842380,1.26,26.09,0,0,0,0,,2016,Africa
MRT,Mauritania,4163532,20586871383,4.16,20.59,0,0,0,0,,2016,Africa
MOZ,Mozambique,27829930,35449309349,27.83,35.45,0,0,0,0,,2016,Africa
MNG,Mongolia,3056358,33503698721,3.06,33.5,0,1,1,2,16.75,2016,Asia
MNE,Montenegro,622303,11697990094,0.62,11.7,0,0,0,0,,2016,Europe
MMR,Myanmar,53045199,2.13E+11,53.05,213.25,0,0,0,0,,2016,Asia
MLT,Malta,455356,18458637843,0.46,18.46,0,0,0,0,,2016,Europe
MLI,Mali,17965448,39498122203,17.97,39.5,0,0,0,0,,2016,Africa
MKD,North Macedonia,2072490,32234383514,2.07,32.23,0,0,0,0,,2016,Europe
MHL,Marshall Islands,57723,208702703,0.06,0.21,0,0,0,0,,2016,Oceania
MEX,Mexico,123333379,2.41E+12,123.33,2409.84,0,3,2,5,481.97,2016,North America
MDV,Maldives,475505,8361084210,0.48,8.36,0,0,0,0,,2016,Asia
MDG,Madagascar,24894370,38981290521,24.89,38.98,0,0,0,0,,2016,Africa
MDA,Moldova,2802170,30662887782,2.8,30.66,0,0,0,0,,2016,Europe
MAR,Morocco,35126274,2.53E+11,35.13,253.43,0,0,1,1,253.43,2016,Africa
LVA,Latvia,1959537,53905242557,1.96,53.91,0,0,0,0,,2016,Europe
LUX,Luxembourg,582014,67678741186,0.58,67.68,0,0,0,0,,2016,Europe
LTU,Lithuania,2868231,91570579073,2.87,91.57,0,1,3,4,22.89,2016,Europe
LSO,Lesotho,2075041,5761851388,2.08,5.76,0,0,0,0,,2016,Africa
LKA,Sri Lanka,21203000,2.61E+11,21.2,260.53,0,0,0,0,,2016,Asia
LCA,St. Lucia,180028,2609973113,0.18,2.61,0,0,0,0,,2016,North America
LBY,Libya,6492160,68767756473,6.49,68.77,0,0,0,0,,2016,Africa
LBR,Liberia,4586788,7178953380,4.59,7.18,0,0,0,0,,2016,Africa
LBN,Lebanon,6714281,1.09E+11,6.71,108.55,0,0,0,0,,2016,Asia
LAO,Lao PDR,6845848,47209839790,6.85,47.21,0,0,0,0,,2016,Asia
KWT,Kuwait,3956862,2.16E+11,3.96,216.48,0,0,0,0,,2016,Asia
KOR,"Korea, Rep.",51217803,2.04E+12,51.22,2039.22,9,3,9,21,97.11,2016,Asia
KNA,St. Kitts and Nevis,51629,1391559699,0.05,1.39,0,0,0,0,,2016,North America
KIR,Kiribati,112529,252961954.2,0.11,0.25,0,0,0,0,,2016,Oceania
KHM,Cambodia,15766290,58778299696,15.77,58.78,0,0,0,0,,2016,Asia
KGZ,Kyrgyz Republic,6079500,29864829313,6.08,29.86,0,0,0,0,,2016,Asia
KEN,Kenya,49051531,2.03E+11,49.05,203.35,6,6,1,13,15.64,2016,Africa
KAZ,Kazakhstan,17794055,4.31E+11,17.79,430.81,3,5,10,18,23.93,2016,Asia
JPN,Japan,126994511,5.18E+12,126.99,5175.55,12,8,21,41,126.23,2016,Asia
JOR,Jordan,9554286,95892008153,9.55,95.89,1,0,0,1,95.89,2016,Asia
JAM,Jamaica,2906242,27763609394,2.91,27.76,6,3,2,11,2.52,2016,North America
ITA,Italy,60627498,2.48E+12,60.63,2475.89,8,12,8,28,88.42,2016,Europe
ISR,Israel,8546000,3.27E+11,8.55,326.58,0,0,2,2,163.29,2016,Asia
ISL,Iceland,335439,18337029182,0.34,18.34,0,0,0,0,,2016,Europe
IRQ,Iraq,36610632,4.03E+11,36.61,402.62,0,0,0,0,,2016,Asia
IRN,"Iran, Islamic Rep.",79563991,1.13E+12,79.56,1130.22,3,1,4,8,141.28,2016,Asia
IRL,Ireland,4755335,3.43E+11,4.76,343.1,0,2,0,2,171.55,2016,Europe
IND,India,1324517250,7.75E+12,1324.52,7750.27,0,1,1,2,3875.14,2016,Asia
IDN,Indonesia,261556386,2.75E+12,261.56,2754.48,1,2,0,3,918.16,2016,Asia
HUN,Hungary,9814023,2.77E+11,9.81,276.93,8,3,4,15,18.46,2016,Europe
HTI,Haiti,10839976,33782654843,10.84,33.78,0,0,0,0,,2016,North America
HRV,Croatia,4174349,1.08E+11,4.17,108.3,5,3,2,10,10.83,2016,Europe
HND,Honduras,9270794,50021631004,9.27,50.02,0,0,0,0,,2016,North America
HKG,"Hong Kong SAR, China",7336600,4.26E+11,7.34,426.23,0,0,0,0,,2016,Asia
GUY,Guyana,771363,8971766802,0.77,8.97,0,0,0,0,,2016,South America
GTM,Guatemala,15827690,1.30E+11,15.83,129.88,0,0,0,0,,2016,North America
GRD,Grenada,110263,1721679317,0.11,1.72,0,1,0,1,1.72,2016,North America
GRC,Greece,10775971,3.04E+11,10.78,304.31,3,1,2,6,50.72,2016,Europe
GNQ,Equatorial Guinea,1215181,30169337714,1.22,30.17,0,0,0,0,,2016,Africa
GNB,Guinea-Bissau,1782434,3322925819,1.78,3.32,0,0,0,0,,2016,Africa
GMB,"Gambia, The",2149134,4377521957,2.15,4.38,0,0,0,0,,2016,Africa
GIN,Guinea,11738434,26452299047,11.74,26.45,0,0,0,0,,2016,Africa
GHA,Ghana,28481947,1.38E+11,28.48,137.78,0,0,0,0,,2016,Africa
GEO,Georgia,3727505,48322420425,3.73,48.32,2,1,4,7,6.90,2016,Asia
GBR,United Kingdom,65611593,3.00E+12,65.61,2999.29,27,23,17,67,44.77,2016,Europe
GAB,Gabon,2007882,30840546267,2.01,30.84,0,0,0,0,,2016,Africa
FSM,"Micronesia, Fed. Sts.",110215,378851921.2,0.11,0.38,0,0,0,0,,2016,Oceania
FRA,France,66724104,2.92E+12,66.72,2916.19,10,18,14,42,69.43,2016,Europe
FJI,Fiji,872406,11184905324,0.87,11.18,1,0,0,1,11.18,2016,Oceania
FIN,Finland,5495303,2.54E+11,5.5,253.92,0,0,1,1,253.92,2016,Europe
ETH,Ethiopia,103603461,1.96E+11,103.6,196.32,1,2,5,8,24.54,2016,Africa
EST,Estonia,1315790,42117035737,1.32,42.12,0,0,1,1,42.12,2016,Europe
ESP,Spain,46484062,1.79E+12,46.48,1788.59,7,4,6,17,105.21,2016,Europe
EGY,"Egypt, Arab Rep.",94447071,1.02E+12,94.45,1019.63,0,0,3,3,339.88,2016,Africa
ECU,Ecuador,16491116,1.90E+11,16.49,190.5,0,0,0,0,,2016,South America
DZA,Algeria,40551398,4.80E+11,40.55,479.57,0,2,0,2,239.79,2016,Africa
DOM,Dominican Republic,10397738,1.68E+11,10.4,168.1,0,0,1,1,168.10,2016,North America
DNK,Denmark,5728010,3.10E+11,5.73,310.37,2,6,7,15,20.69,2016,Europe
DMA,Dominica,71307,866718860.9,0.07,0.87,0,0,0,0,,2016,North America
DJI,Djibouti,929117,4375698707,0.93,4.38,0,0,0,0,,2016,Africa
DEU,Germany,82348669,4.27E+12,82.35,4272.22,17,10,15,42,101.72,2016,Europe
CZE,Czech Republic,10566332,3.91E+11,10.57,391.11,1,2,7,10,39.11,2016,Europe
CYP,Cyprus,1170189,31089718667,1.17,31.09,0,0,0,0,,2016,Asia
CYM,Cayman Islands,62564,4284664749,0.06,4.28,0,0,0,0,,2016,North America
CRI,Costa Rica,4899336,96696554845,4.9,96.7,0,0,0,0,,2016,North America
CPV,Cabo Verde,531140,3443232724,0.53,3.44,0,0,0,0,,2016,Africa
COM,Comoros,795597,2377220187,0.8,2.38,0,0,0,0,,2016,Africa
COL,Colombia,48175048,6.84E+11,48.18,683.82,3,2,3,8,85.48,2016,South America
COG,"Congo, Rep.",4980996,22634023588,4.98,22.63,0,0,0,0,,2016,Africa
COD,"Congo, Dem. Rep.",78789130,83167671599,78.79,83.17,0,0,0,0,,2016,Africa
CMR,Cameroon,23926549,86958198354,23.93,86.96,0,0,0,0,,2016,Africa
CIV,Cote d'Ivoire,23822726,1.10E+11,23.82,109.96,1,0,1,2,54.98,2016,Africa
CHN,China,1387790000,1.86E+13,1387.79,18595.19,26,18,26,70,265.65,2016,Asia
CHL,Chile,18209072,4.47E+11,18.21,446.69,0,0,0,0,,2016,South America
CHE,Switzerland,8373338,5.75E+11,8.37,574.94,3,2,2,7,82.13,2016,Europe
CAN,Canada,36109487,1.71E+12,36.11,1713.67,4,3,15,22,77.89,2016,North America
CAF,Central African Republic,4537683,4013558817,4.54,4.01,0,0,0,0,,2016,Africa
BWA,Botswana,2159925,33812938657,2.16,33.81,0,0,0,0,,2016,Africa
BTN,Bhutan,736706,7938147353,0.74,7.94,0,0,0,0,,2016,Asia
BRN,Brunei Darussalam,419791,25551541320,0.42,25.55,0,0,0,0,,2016,Asia
BRB,Barbados,285798,4497911405,0.29,4.5,0,0,0,0,,2016,North America
BRA,Brazil,206163056,2.98E+12,206.16,2979.29,0,0,0,0,,2016,South America
BOL,Bolivia,11031822,90489007926,11.03,90.49,0,0,0,0,,2016,South America
BMU,Bermuda,64554,5044853304,0.06,5.04,0,0,0,0,,2016,North America
BLZ,Belize,368399,2655034057,0.37,2.66,0,0,0,0,,2016,North America
BLR,Belarus,9469379,1.69E+11,9.47,169.34,1,4,4,9,18.82,2016,Europe
BIH,Bosnia and Herzegovina,3386263,44679454488,3.39,44.68,0,0,0,0,,2016,Europe
BHS,"Bahamas, The",377923,13492316077,0.38,13.49,1,0,1,2,6.75,2016,North America
BHR,Bahrain,1425793,68349250017,1.43,68.35,1,1,0,2,34.18,2016,Asia
BGR,Bulgaria,7127822,1.48E+11,7.13,147.84,0,1,2,3,49.28,2016,Europe
BGD,Bangladesh,157977151,6.19E+11,157.98,619.29,0,0,0,0,,2016,Asia
BFA,Burkina Faso,18646350,36946433804,18.65,36.95,0,0,0,0,,2016,Africa
BEN,Benin,10872072,32196993426,10.87,32.2,0,0,0,0,,2016,Africa
BEL,Belgium,11331422,5.65E+11,11.33,564.64,2,2,2,6,94.11,2016,Europe
BDI,Burundi,10488002,8333811187,10.49,8.33,0,1,0,1,8.33,2016,Africa
AZE,Azerbaijan,9757812,1.39E+11,9.76,138.88,1,7,10,18,7.72,2016,Asia
AUT,Austria,8736668,4.66E+11,8.74,466.06,0,0,1,1,466.06,2016,Europe
AUS,Australia,24190907,1.16E+12,24.19,1163.97,8,11,10,29,40.14,2016,Oceania
ATG,Antigua and Barbuda,94520,1835543678,0.09,1.84,0,0,0,0,,2016,North America
ARM,Armenia,2936147,33187468758,2.94,33.19,1,3,0,4,8.30,2016,Asia
ARG,Argentina,43590368,1.01E+12,43.59,1010.84,3,1,0,4,252.71,2016,South America
ARE,United Arab Emirates,9360975,6.23E+11,9.36,622.61,0,0,1,1,622.61,2016,Asia
ALB,Albania,2876101,35352647954,2.88,35.35,0,0,0,0,,2016,Europe
AGO,Angola,28842482,2.18E+11,28.84,218.31,0,0,0,0,,2016,Africa
AFG,Afghanistan,35383028,72785293848,35.38,72.79,0,0,0,0,,2016,Asia
ABW,Aruba,104865,4017882135,0.1,4.02,0,0,0,0,,2016,North America
